uid,text,label,metadata__headline,metadata__date
1028127366,"Sales ,of recorded music fell sharply in 2008, as consumers continued to migrate away from the CD format, large retailers reduced floor space for music and ... the recession dampened consum-er spending during the critical year-end holiday shopping period.</br></br>Total album sales in the United States,‘including CDs and,full-album downloads, were 428 mil-, lion, a 14 percent drop from 2007, according to data from Nielsen - Sound Scan. Since the industry’s.'</br></br>The year’s biggest seller was Lil Wayne’s album “Tha Carter III"" (Cash Money/Universal Motown), which sold 2.87 million copies, followed by Coldplay’s “Viva la Vida or Death and All His Friends"" (Capitol), with 2.14 million. “Fearless"" (Big Machine), the second album by the 19-year-old country star Taylor Swift, was third, with 2.11 million.</br></br>(Ms. SWift also scored the sixth-highest seller this year, for her self-titled debut, released in 2006, which sold 1.6 million copies in</br></br>The music industry has grown accustomed to dismal sales numbers, and this year even the good news comes with disappointment. “Tha Carter III” is the first release in SoundScan’s 17-year history to top. the year-end list with sales of less than 3 million.",5.5,"Music Sales Fell in 2008, But Climbed On the Web",2009-01-01
1029867298,"If you’re looking for a job right now, more or less directly save or add jobs, your prospects are terrible. There are One such measure would be another six times as many Americans seeking round of aid to beleaguered state and lo-work as there are job openings, and the cal governments, which have seen their average duratiot] of unemployment — tax receipts plunge and which, unlike the time the average job-seeker has the federal government, can’t borrow to spent looking for work — is more than cover a temporary shortfall. More aid six months, the highest level since the would help avoid both a drastic wors-</br></br>You might think, then, that doing something about the employment situation would be a top policy priority. But now that total financial collapse has been averted, all the urgency seems to have vanished from policy discussion, replaced by a strange passivity. There’s a pervasive sense in Washington that nothing more can or should be done, that we should just wait for the economic recovery to trickle down to workers.</br></br>Yes, the recession is probably over in a technical sense, but that doesn't mean that full employment is just around the corner. Historically, financial crises have typically been followed not just by severe recessions but by anemic recoveries; it’s usually years before unemployment declines to anything like normal levels. And all indications are that the aftermath of the latest financial crisis is following the usuai script. The Federal Reserve, for example, expects unemployment, currently 10.2 percent, to stay above 8 percent — a number that would have been considered disastrous not long ago — until sometime in 2012.</br></br>And the damage from sustained high unemployment will last much longer. The long-term unemployed can lose their skills, and even when the economy recovers they tend to have difficulty finding a job, because they’re regarded as poor risks by potential employers. Meanwhile, students who graduate into a poor labor market start their careers at a huge disadvantage — and pay a price in lower earnings for their whole working lives. Failure to act on unemployment isn’t just cruel, it’s shortsighted.</br></br>How is a jobs program different from a second stimulus? It’s a matter of priorities. The 2009 Obama stimulus bill was focused on restoring economic growth. It was, in effect, based on the belief that if you build G.D.P., the jobs will come. That strategy might have worked if the stimulus had been big enough — but it wasn't. And as a matter of political reality, it’s hard to see how the administration could pass a second stimulus big enough to make up for the original shortfall.",5,The Jobs Imperative,2009-11-30
1029869742,"The Federal Reserve on Monday proposed allowing banks to park their reserves at the central bank, a move aimed at weaning the economy off extraordinary infusions of cash and curbing inflation.</br></br>The Fed would create the equivalent of a certificate of deposit that pays interest to banks for keeping some of their reserves — which are currently estimated at more than $1 trillion — for up to one year. That would help offset some of the $2.2 trillion the central bank has fanned out into the economy during the financial crisis. It also would allow the Fed to quickly entice banks to take more money out of circulation in case inflation emerged as a serious threat in the near future.</br></br>The proposal was the latest sign the Fed is intensifying its efforts to scale back the vast amounts of money it pumped into the economy at the height of the crisis.</br></br>ing prices, although the Fed chairman, Ben S. Bernanke, has said inflation is not a near-term danger. Fed officials emphasized that the proposal for the ""term deposit” program would have no immediate implications for monetary policy, and would probably not go into effect for at least a year.</br></br>Mr. Bernanke has mentioned it as a possible tool to withdraw money from the economy when it gained momentum.",5.333333333333333,"To Inhibit Inflation, Fed Offers to Set Up Interest-Bearing Deposits",2009-12-29
1029888932,"WASHINGTON — Now that unemployment has topped 'TO percent, some liberal-leaning economists see confirmation of their warnings that the $787 bib lion stimulus package President Obama signed into law last February was way too small, The economy needs a second big infusion, they say.</br></br>No, some conservative-leaning economists counter, we were right: The package has beeri wasteful, ineffectual and even harmful to the extent that it adds to the nation’s debt and crowds out private-sector borrowing.</br></br>These long-running arguments have flared now that the White House and Congressional leaders are talking about a new “jobs bill.” But with roughly a quarter of the stimulus money out the door after nine months, the accumulation of hard data and real-life experience has allowed more dispassionate analysts to reach a consensus that the stimulus package, messy as it is, is working.</br></br>The legislation, a variety, of economists say, is helping an economy in free fall a year ago to grow again and shed fewer jobs than it otherwise would. Mr. Obama’s promise to “save or create” about 3.5 million jobs by the end of 2010 is roughly on track, • though far more jobs are being saved than created, especially . among states and cities using -their money to avoid cutting teachers, police officers and other workers.</br></br>“It was worth doing — it’s.. made a difference,” said Nigei Gault, chief economist at IHS Global Insight, a financial fore: casting and analysis group based in Lexington, Mass.",3.3333333333333335,NEW CONSENSUS VIEWS STUMS AS WORTHY STEP: TALK OF A 2ND INFUSION Unemployment Figures and Increase in Debt Sway Economists,2009-11-21
1030553500,"'Christina Romer is Barack Obama’s choice to lead his Council of Economic Advisers. In 1994, Romer and her husband1; David, wrote an essay entitled ""What Ends Recessions?"" In the first paragraph, the Romers noted that ""economists seem strangely unsure about1 What to tell policy makers to do to eritocessions."" (’•The Romers surveyed the recessions ofi'the previous 50 years to try to reach some conclusions about what works. “Our central conclusion is that monetary policy alone is a sufficiently powerful and flexible tool to end recessions,” they wrote. Automatic spending policies like unemployment insurance have sometimes helped. Discretionary policies, like tax cuts and stimulus plans, have, hot been of much use. As they put it: “Discretionary fiscal policy, in contrast* does not appear to have had an important role in generating recoveries.” ijie Romers briefly described how dif-fel;ept administrations responded to recessions, All the administrations, Democratic and Republican, resisted large-scalejTiscal stimulus plans. They didn’t believe they could time a stimulus correctly. They didn’t trust Congress to pass'the bills quickly or cleanly. They decided they shouldn’t be making policy in-what Kennedy administration economists called ""an atmosphere of haste and panic brought on by recession.”</br></br>The Romers’ essay exemplifies the economic doctrine that reigned up until afew,months ago: fiscal stimulus plans that- try to time a recession are danger-ouSi,unproven and unnecessary.</br></br>That doctrine has suddenly vanished. Bu,b pot because we suddenly know how to-create effective stimulus plans. Last year,’,the Congress passed a $165 billion plan tthat seems to have done almost nothing for the economy. The doctrine has vanished because this recession is deeper than the others and we’ve run out .of other stuff to do.</br></br>,.^o(Jay there is wide support for fiscal stimulus. It’s just that there is no historical Experience to tell us how to do it, and there is no agreement on how to make it</br></br>Obama is compelled to jump into unchar t,e red territory, with no compass or guide. He could have chosen to spend the ■tjig money that is apparently re-qiiirled in cautious ways. He could have chosen to pick out a few easily implemented policies that could be enacted in aj,w#y that is targeted, temporary and timely. He could have chosen to merely cut the payroll tax, boost aid to the states and do infrastructure projects. 0‘But the Obama presidency is going to beidefined by his audacious self-confi-denpe. In Thursday’s speech, he vowed tOj.do,everything at once. He vowed to throw the big things into the stimulus soup>— tax cuts, state aid, road and bridge repair — but also the rest of the pantry. He proposes broadband projects, special education programs, a new power, grid, new scientific research, teacher training projects and new libraries.",3.3333333333333335,The Confidence Surplus,2009-01-09
1030553519,"""I don’t believe it’s too late to change course, but it will be if we don't take dramatic action as soon as possible. If nothing is done, this recession could linger for years.”</br></br>So declared President-elect ■ Barack Obama on Thursday, explaining why the nation needs an extremely aggressive government response to the economic downturn. He’s right. This is the most dangerous economic crisis since the Great Depression, and it could all too easily turn into a prolonged slump.</br></br>But Mr. Obama’s prescription doesn’t live up to his diagnosis. The economic plan he’s offering isn’t as strong as his language about the economic threat. In fact, it falls well short of what’s needed.</br></br>Bear in mind just how big the U.S. economy is. Given sufficient demand for its output, America would produce more than $30 trillion worth of goods and services over the next two years. But, with both consumer spending and business investment plunging, a huge gap is opening up between what the American, economy can produce and what it’s able to sell.</br></br>Earlier this week, the Congressional Budget Office came out with its latest, analysis of the budget and economic outlook. The budget office says that in: the absence of a stimulus plan, the unemployment rate would rise above 9, percent by early 2010, and stay high for years to come.",3,The Obama Gap,2009-01-09
1030555635,"J.Tlie Federal Reserve’s plan to ""cqax mortgage rates lower is . working: rates on 30-year fixed (:/}!jpans fell for the 10th consecutive ' w£<ik to the lowest levels in dec- .....'j.^hat is not clear, however, is ^whether rates are attractive '‘enough to lure a significant number; of home buyers back into the „ ailing housing market. ^r^.’Jnterest rates on conforming .,fpiprtgages dropped to an average of 5.01 percent for the week</br></br>J. .ending Jan. 8, with an average fee which is known as a point ' arid is paid to lower the mortgage . amount.</br></br>‘.That was down from last week’s 5.10 percent and 5.87 per-‘ .pent a year ago, according to ■ .^Freddie Mac, and a high of about *'• js.7.percent last summer.</br></br>serve’s plan, announced in late November, to buy back $500 billion in mortgage-backed securities backed by Fannie Mae, Freddie Mac and Ginnie Mae. Since demand for those securities had dried up, the Fed hoped that buying a sizable number of these investments would raise their price and lower their yields.</br></br>Mortgage rates tend to track those yields. The Fed started buying mortgage-backed securities on Monday, and had bought a total of $10.21 billion in securities as of Wednesday.",4.666666666666667,"Average Mortgage Rate Hits 5%, Lowest in Decades",2009-01-09
1030557400,"WASHINGTON — President Obama and his advisers have approached Senator Judd Gregg, Republican of New Hampshire, about becoming commerce secretary, a step that could open the way to significant shift in the balance of power in Congress.</br></br>If Mr. Gregg accepted the post, he would probably be replaced by a Democrat. Now, there are 58 Democrats in the Senate, with the number rising to 59 if A1 Franken of Minnesota is seated after the court challenge to his race is completed. The replacement of Mr. Gregg’could give Democrats 60 seats, the number needed to control the legislative agenda without the threat of Repub-</br></br>Earlier this week, Mr. Gregg was quoted praising the president as “a tour de force.” Asked Thursday about his interest in the commerce job, Mr. Gregg said he would not discuss it.</br></br>“I can’t tell you anything,” said Mr. Gregg, the ranking Republican on the Budget Committee. ""I have no comment.”</br></br>Mr. Gregg is nearing the end of his third term in the Senate, and faces re-election in 2010. Should he accept the position, New Hampshire’s governor, John Lynch, a Democrat, would appoint his successor and would be likely to pick a Democrat.",6,Democrats Set Sights on Republican Senators Who Oppose Stimulus Plan,2009-01-30
1030559730,"It may also be tomorrow’s reality. The world’s efforts at economic recovery could well turn into a case of every country for itself. Call it ""capital protectionism.” h'OH*low would be mild and would not spread FINA E overseas. The strength of world economic growth would enable Europe and Asia to “decouple"" from the American economy.</br></br>What happened instead was the downside of globalization. Readily available and cheap capital played a crucial role in lifting growth around the world, and its absence for all but the safest borrowers is causing pain everywhere.</br></br>But what is not the same everywhere is the ability of governments to stimulate the economy. While the United States debates the details of how to spend a trillion dollars or more to bail out banks and stimulate the economy, the governments of some other countries find themselves caught in the credit squeeze.</br></br>Fund by agreeing to draconian measures that include wage cuts, spending reductions and tax increases. There were riots.</br></br>The president of Latvia, Valdis Zalters, was diplomatic when I asked him Thursday if he thought it was unfair that the United States could easily borrow when his country could not. “It’s the way it is,” he.said. “The U.S. has a AAA rating. We had no choice.” The best positioned are those countries that have huge foreign currency reserves — think China — or printing presses for the international reserve currency — think the United States.",5,Danger in Government Directing Capital: HIGH & LOW FINANCE,2009-01-30
1030588202,"ABOVE LEFT AND RIGHT Royal Caribbean’s 5,400-passenger Oasis of the Seas, seen in construction and in a rendering, makes its debut late this year ■ mil:: ships are newer and bigger. ■1 The onboard movies glow in 3-D, I even lurch in 4-D. Massages and I body wraps await in the spa. Yet “ the cruise may be cheaper than’ last year's — or, at least, cheaper than you were expecting. Setting sail in a recession, cruise lines are not only slashing prices but also adapting to travelers’ economic nervousness by redesigning their itineraries with shorter trips, closer to home, to offer more attainable options. .</br></br>North American ports will be busier, and fewer ships will be setting out on multiweek voyages to faraway places like Australia. It's all part of convincing travelers that cruises are still affordable .vacations.</br></br>“We are talking more about value than we have in the past,” said Brad Ball, a spokesman for Silversea Cruises, a’1 small luxury ship line, which added shorter cruises in the Mediterranean and Baltic Seas this year. “We are offering more seven- and nine-day options’. With a seven-day cruise, you add' ih two days of travel time and are really ojily away from the office for about a week.” ,0At the same time, cruisers who want plenty of luxury and adventure, recession or no recession, will easily find it. Big new ships, ordered in palmier days, are hitting the waves equipped to serve the highest-paying passengers with lavishly appointed staterooms spacious enough for a small family reunion. Specialized itineraries continue to proliferate, giving travelers an intensive focus on topics from tennis to global warming. And many cruise lines are actively developing itineraries in Europe and the Middle East aimed at building a more international cruise audience.</br></br>A Carnival Cruise Lines ship, the Carnival Liberty, was once scheduled for a slimmer of Mediterranean sailings but is now staying put in Miami and won’t go farther than the Caribbean. Some brand-new ships, like the Carnival Dream and Royal Caribbean’s Oasis of the Seas, will stick close to North America. It's all part of a larger trend in cruising this year. Many ship lines are reining in deployments in Europe and far-flung destinations like the South Pacific 'and Australia, and itineraries closer to • home are getting a new look.</br></br>' “The exotic cruises are really suffering this year,” said Carolyn Spencer Brown, editor in chief of CruiscCriL-ic.com, an online cruise magazine. “Everyone is pulling back. Australia and New Zealand is dying because it’s too far, too expensive and too long of a trip for the younger traveler."" Passengers will see more options from ports easily reached from the Eastern Seaboard. Bermuda, with a new cruise terminal in King's Wharf, will be getting sailings from Norwegian Cruise Line, which runs trips from five United States ports. Holland America wjill add Bermuda sailings in 2010.",4,Navigating Shifting Tides and Waves of Interest,2009-02-15
