uid,text,label,metadata__headline,metadata__date
1028127366,"Sales ,of recorded music fell sharply in 2008, as consumers continued to migrate away from the CD format, large retailers reduced floor space for music and ... the recession dampened consum-er spending during the critical year-end holiday shopping period.</br></br>Total album sales in the United States,‘including CDs and,full-album downloads, were 428 mil-, lion, a 14 percent drop from 2007, according to data from Nielsen - Sound Scan. Since the industry’s.'</br></br>The year’s biggest seller was Lil Wayne’s album “Tha Carter III"" (Cash Money/Universal Motown), which sold 2.87 million copies, followed by Coldplay’s “Viva la Vida or Death and All His Friends"" (Capitol), with 2.14 million. “Fearless"" (Big Machine), the second album by the 19-year-old country star Taylor Swift, was third, with 2.11 million.</br></br>(Ms. SWift also scored the sixth-highest seller this year, for her self-titled debut, released in 2006, which sold 1.6 million copies in</br></br>The music industry has grown accustomed to dismal sales numbers, and this year even the good news comes with disappointment. “Tha Carter III” is the first release in SoundScan’s 17-year history to top. the year-end list with sales of less than 3 million.",yes,"Music Sales Fell in 2008, But Climbed On the Web",2009-01-01
1029867298,"If you’re looking for a job right now, more or less directly save or add jobs, your prospects are terrible. There are One such measure would be another six times as many Americans seeking round of aid to beleaguered state and lo-work as there are job openings, and the cal governments, which have seen their average duratiot] of unemployment — tax receipts plunge and which, unlike the time the average job-seeker has the federal government, can’t borrow to spent looking for work — is more than cover a temporary shortfall. More aid six months, the highest level since the would help avoid both a drastic wors-</br></br>You might think, then, that doing something about the employment situation would be a top policy priority. But now that total financial collapse has been averted, all the urgency seems to have vanished from policy discussion, replaced by a strange passivity. There’s a pervasive sense in Washington that nothing more can or should be done, that we should just wait for the economic recovery to trickle down to workers.</br></br>Yes, the recession is probably over in a technical sense, but that doesn't mean that full employment is just around the corner. Historically, financial crises have typically been followed not just by severe recessions but by anemic recoveries; it’s usually years before unemployment declines to anything like normal levels. And all indications are that the aftermath of the latest financial crisis is following the usuai script. The Federal Reserve, for example, expects unemployment, currently 10.2 percent, to stay above 8 percent — a number that would have been considered disastrous not long ago — until sometime in 2012.</br></br>And the damage from sustained high unemployment will last much longer. The long-term unemployed can lose their skills, and even when the economy recovers they tend to have difficulty finding a job, because they’re regarded as poor risks by potential employers. Meanwhile, students who graduate into a poor labor market start their careers at a huge disadvantage — and pay a price in lower earnings for their whole working lives. Failure to act on unemployment isn’t just cruel, it’s shortsighted.</br></br>How is a jobs program different from a second stimulus? It’s a matter of priorities. The 2009 Obama stimulus bill was focused on restoring economic growth. It was, in effect, based on the belief that if you build G.D.P., the jobs will come. That strategy might have worked if the stimulus had been big enough — but it wasn't. And as a matter of political reality, it’s hard to see how the administration could pass a second stimulus big enough to make up for the original shortfall.",yes,The Jobs Imperative,2009-11-30
1029868697,"Unemployment has reached 1013' percent in New York City higher than it is in the state and nationally. The Bloomberg administration is weighing cuts from every city-agency to help close a $4.1 billion deficit next year. Homelessness among families is at a record high, with more than 28,000 men, women and children now in the city’s shelter sys-tetri.</br></br>Yet Police Department statistics show that the number of major crimes is continuing to fall this year in nearly every category,-upending the common wisdom that hard times bring more crime.</br></br>“The idea that everyone has ingrained into them — that as the economy goes south, crime has to get worse — is wrong,"" said David M. Kennedy, a professor at the John Jay College of Criminal Justice. “It was never right to begin with.” through Nov. 22, compared with 473 in the same period last year, the statistics show. Rape, robbery, burglary, grand larceny and car theft are also on the decline.</br></br>There has been a decrease in overall crime in all but two of the city’s 76 police precincts. Crime in the subways and in public housing complexes is down. The number of shootings citywide has fallen, as has the number of people hurt or killed by gunfire — despite the recent shootings of two teenagers in the Bronx and Queens who were not the intended targets.</br></br>Even the number of petty larceny complaints — the theft of items valued at less than $1,000, a crime mostly associated with shoplifting — has fallen, to 72,971 from 74,631 in the same period a year ago, Police Commissioner Raymond W. Kelly said,",no,"In This Recession, Bad Times Do Not Bring More Crime (If They Ever Did)",2009-11-30
1029869153,"An electric bike factory in Anhui Province in China. Industrial production jumped 19.2 percent in November over the year-ago period. Retail sales were also strong, soaring 15.8 percent.</br></br>HONG KONG — Data released by China on Friday provided fresh evidence that the nation’s economic recovery was gaining momentum, helped by government stimulus measures and lending by state-run banks over the last year.</br></br>China’s authorities were quick to prime the economy in the wake of last year’s global financial crisis, and gross domestic product is forecast to grow more than 8 percent this year — vastly more than in the United States, Europe or Japan — despite a sharp decline in exports.</br></br>19.2 percent from a year ago, while imports jumped 26.7 percent. Exports were 1.2 percent below those of November 2008, but that shortfall was slight compared with the year-over-year declines of more than 10 percent in previous months.</br></br>Much of the increases now appearing in year-on-year economic statistics worldwide compare well to grim year-earlier figures, but often still remain well below precrisis levels.",no,"China Is Thriving, Its Economic Data Shows",2009-12-12
1029869742,"The Federal Reserve on Monday proposed allowing banks to park their reserves at the central bank, a move aimed at weaning the economy off extraordinary infusions of cash and curbing inflation.</br></br>The Fed would create the equivalent of a certificate of deposit that pays interest to banks for keeping some of their reserves — which are currently estimated at more than $1 trillion — for up to one year. That would help offset some of the $2.2 trillion the central bank has fanned out into the economy during the financial crisis. It also would allow the Fed to quickly entice banks to take more money out of circulation in case inflation emerged as a serious threat in the near future.</br></br>The proposal was the latest sign the Fed is intensifying its efforts to scale back the vast amounts of money it pumped into the economy at the height of the crisis.</br></br>ing prices, although the Fed chairman, Ben S. Bernanke, has said inflation is not a near-term danger. Fed officials emphasized that the proposal for the ""term deposit” program would have no immediate implications for monetary policy, and would probably not go into effect for at least a year.</br></br>Mr. Bernanke has mentioned it as a possible tool to withdraw money from the economy when it gained momentum.",yes,"To Inhibit Inflation, Fed Offers to Set Up Interest-Bearing Deposits",2009-12-29
1029887383,"Millions of Americans are paying a high price for a safe place to put their money: extremely low interest rates on savings accounts and certificates of deposit.</br></br>The elderly and others on fixed incomes have been especially hard hit. Many have seen returns on savings, C.D.’s and government bonds drop to niggling amounts recently, often costing them money once inflation, fees and taxes are considered, ""Open a Savings Plus Account today and get a great rate,"" read an advertisement in the Dec. 16 Newsday for Citibank, which was then offering 1.2 percent for an account. (As low as it was, the offer was good only for accounts of $25,000 and up.)</br></br>“They’re advertising it in the papers as if they’re actually proud of that,"" said Steven Weis-man, a title insurance consultant in New York. “It’s a joke."" The advertised rate for the Savings Plus account has expired, according to the bank’s Web site; as of Friday, the account paid an interest rate of 0.5 percent. The bank’s highest-yield savings account, the Ultimate, Continued, on Page AI6</br></br>Joe Parks, a retired accountant, said retirees and the elderly would take up to a three-quarters of a percent cut in income.</br></br>The best deal Mr. Weisman has found is 2 percent on a one-year certificate of deposit offered by ING Direct, an online bank that has become a bit of a darling among the fixed-income crowd.",no,"At Tiny Rates, Saving Money Costs Investors",2009-12-26
1029888932,"WASHINGTON — Now that unemployment has topped 'TO percent, some liberal-leaning economists see confirmation of their warnings that the $787 bib lion stimulus package President Obama signed into law last February was way too small, The economy needs a second big infusion, they say.</br></br>No, some conservative-leaning economists counter, we were right: The package has beeri wasteful, ineffectual and even harmful to the extent that it adds to the nation’s debt and crowds out private-sector borrowing.</br></br>These long-running arguments have flared now that the White House and Congressional leaders are talking about a new “jobs bill.” But with roughly a quarter of the stimulus money out the door after nine months, the accumulation of hard data and real-life experience has allowed more dispassionate analysts to reach a consensus that the stimulus package, messy as it is, is working.</br></br>The legislation, a variety, of economists say, is helping an economy in free fall a year ago to grow again and shed fewer jobs than it otherwise would. Mr. Obama’s promise to “save or create” about 3.5 million jobs by the end of 2010 is roughly on track, • though far more jobs are being saved than created, especially . among states and cities using -their money to avoid cutting teachers, police officers and other workers.</br></br>“It was worth doing — it’s.. made a difference,” said Nigei Gault, chief economist at IHS Global Insight, a financial fore: casting and analysis group based in Lexington, Mass.",yes,NEW CONSENSUS VIEWS STUMS AS WORTHY STEP: TALK OF A 2ND INFUSION Unemployment Figures and Increase in Debt Sway Economists,2009-11-21
1030552298,"Once emblems of conspicuous consumption, concierges are repositioning themselves. Now they help clients with the nuts and bolts of their downsized lives.</br></br>THE phones are still ringing at the desks of residential concierges around the city, but the conversations have a different timbre than they did before the recession was officially declared.</br></br>Tile days of seemingly carefree excess are gone. In their place are requests that involve quieter times spent more economically and very likely closer to home.</br></br>Instead of reservations at Daniel or Per Se, residents are asking their concierges for recommendations for more reasonably priced neighborhood restaurants.</br></br>Instead of holding a party for their 100 closest friends at a club, they're opting for a dinner party at home for 20.",no,Concierges Get New Marching Orders,2009-01-11
1030552938,"We are shaped by the places we have lived. And Baracfe Obama lias lived in a lot of different places. His memoir, ""Dreams From My Father,"" recountsfor-mative years spent in Indonesia; Honolulu; Los Angeles; New York City; Cambridge, Mass.; and Chicago. How might these places have helped to mold the man who will be the next president of the United States? What might he have tah-en away from, say, Jakarta in 1967? Or Columbia University? Six writers who lived where Mr. Obama lived —when he lived there — reflect on those questions.</br></br>WHEN Barack Obama and his mother arrived in Jakarta in 1967, Indonesia was just emerging from major political upheaval and a deep economic crisis that had made it one of the most impoverished nations in Asia. The citv’s few high-rise buildings only highlighted the poverty around them. Those who had cars, perhaps more for status than for transport, competed for space on asphalt roads with public buses, motorcycles; three-wheeled rickshaws, pedestrians and hawkers peddling food, cigarettes and whatever else they could sell.</br></br>The Indonesia that Barack Obama found was a densely populated country that could barely feed its own people and had to be propped up with huge infusions of foreign aid. Not long before his arrival, hundreds of thousands of people accused of membership in the Indonesian Communist Party had been massacred, and the staunchly pro-American General Suharto had seized power from the left-leaning President Sukarno.</br></br>Under Suharto, the army took firm control of the government, and increasingly every facet of people's lives. Anyone suspected of harboring even the slightest sympathy for the communists risked incarceration. Some of the more serious offenders were sent to a remote prison island named Buru.</br></br>streets with his Indonesian friends. His height may have drawn some attention, but otherwise he could have easily passed as an Indonesian from the Molucca archipelago, where people have Anyone going to a public school in Jakarta would have had early exposure to a vast array of cultures. These schools were microcosms of Indonesia, a nation of many different races, ethnic groups and religions. Indonesia has certainly had its share of religious extremism (and terrorism), but its religious toler-",no,Obama's Indonesian Classroom,2009-01-18
1030553500,"'Christina Romer is Barack Obama’s choice to lead his Council of Economic Advisers. In 1994, Romer and her husband1; David, wrote an essay entitled ""What Ends Recessions?"" In the first paragraph, the Romers noted that ""economists seem strangely unsure about1 What to tell policy makers to do to eritocessions."" (’•The Romers surveyed the recessions ofi'the previous 50 years to try to reach some conclusions about what works. “Our central conclusion is that monetary policy alone is a sufficiently powerful and flexible tool to end recessions,” they wrote. Automatic spending policies like unemployment insurance have sometimes helped. Discretionary policies, like tax cuts and stimulus plans, have, hot been of much use. As they put it: “Discretionary fiscal policy, in contrast* does not appear to have had an important role in generating recoveries.” ijie Romers briefly described how dif-fel;ept administrations responded to recessions, All the administrations, Democratic and Republican, resisted large-scalejTiscal stimulus plans. They didn’t believe they could time a stimulus correctly. They didn’t trust Congress to pass'the bills quickly or cleanly. They decided they shouldn’t be making policy in-what Kennedy administration economists called ""an atmosphere of haste and panic brought on by recession.”</br></br>The Romers’ essay exemplifies the economic doctrine that reigned up until afew,months ago: fiscal stimulus plans that- try to time a recession are danger-ouSi,unproven and unnecessary.</br></br>That doctrine has suddenly vanished. Bu,b pot because we suddenly know how to-create effective stimulus plans. Last year,’,the Congress passed a $165 billion plan tthat seems to have done almost nothing for the economy. The doctrine has vanished because this recession is deeper than the others and we’ve run out .of other stuff to do.</br></br>,.^o(Jay there is wide support for fiscal stimulus. It’s just that there is no historical Experience to tell us how to do it, and there is no agreement on how to make it</br></br>Obama is compelled to jump into unchar t,e red territory, with no compass or guide. He could have chosen to spend the ■tjig money that is apparently re-qiiirled in cautious ways. He could have chosen to pick out a few easily implemented policies that could be enacted in aj,w#y that is targeted, temporary and timely. He could have chosen to merely cut the payroll tax, boost aid to the states and do infrastructure projects. 0‘But the Obama presidency is going to beidefined by his audacious self-confi-denpe. In Thursday’s speech, he vowed tOj.do,everything at once. He vowed to throw the big things into the stimulus soup>— tax cuts, state aid, road and bridge repair — but also the rest of the pantry. He proposes broadband projects, special education programs, a new power, grid, new scientific research, teacher training projects and new libraries.",yes,The Confidence Surplus,2009-01-09
