uid,text,label,metadata__gold,metadata__sentence_id,metadata__pre_sentence,metadata__post_sentence
10000001,1987 Conservative Party General Election Manifesto. The Next Moves Forward. FOREWORD. In the last eight years our country has changed - changed for the better.,1,FALSE,10000001,NA,We have discovered a new strength and a new pride. We have fostered a new spirit of enterprise.
10000011,We have discovered a new strength and a new pride.,1,FALSE,10000011,1987 Conservative Party General Election Manifesto. The Next Moves Forward. FOREWORD. In the last eight years our country has changed - changed for the better.,We have fostered a new spirit of enterprise. We have risen to fresh challenges at home and abroad.
10000031,We have risen to fresh challenges at home and abroad.,1,TRUE,10000031,We have discovered a new strength and a new pride. We have fostered a new spirit of enterprise.,Once again our economy is strong. Our industries are flourishing.
10000051,Our industries are flourishing.,2,FALSE,10000051,We have risen to fresh challenges at home and abroad. Once again our economy is strong.,"Unemployment is falling. Founded on this new prosperity, we are building a better Health Service and providing more care for those in need."
10000061,Unemployment is falling.,2,FALSE,10000061,Once again our economy is strong. Our industries are flourishing.,"Founded on this new prosperity, we are building a better Health Service and providing more care for those in need. Living standards are higher than ever before."
10000081,Living standards are higher than ever before.,2,FALSE,10000081,"Unemployment is falling. Founded on this new prosperity, we are building a better Health Service and providing more care for those in need.",Our people have the protection of a stronger defence and more police. Britain has come right by her own efforts.
10000091,Our people have the protection of a stronger defence and more police.,3,FALSE,10000091,"Founded on this new prosperity, we are building a better Health Service and providing more care for those in need. Living standards are higher than ever before.",Britain has come right by her own efforts. We trusted in the character and talents of our people.
10000101,Britain has come right by her own efforts.,1,FALSE,10000101,Living standards are higher than ever before. Our people have the protection of a stronger defence and more police.,We trusted in the character and talents of our people. The British instinct is for choice and independence.
10000111,We trusted in the character and talents of our people.,1,FALSE,10000111,Our people have the protection of a stronger defence and more police. Britain has come right by her own efforts.,"The British instinct is for choice and independence. Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions."
10000121,The British instinct is for choice and independence.,1,FALSE,10000121,Britain has come right by her own efforts. We trusted in the character and talents of our people.,"Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions. Together we are building One Nation of free, prosperous and responsible families and people."
10000131,"Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions.",2,FALSE,10000131,We trusted in the character and talents of our people. The British instinct is for choice and independence.,"Together we are building One Nation of free, prosperous and responsible families and people. A Conservative dream is at last becoming a reality."
10000141,"Together we are building One Nation of free, prosperous and responsible families and people.",1,FALSE,10000141,"The British instinct is for choice and independence. Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions.",A Conservative dream is at last becoming a reality. This Manifesto points the way forward.
10000151,A Conservative dream is at last becoming a reality.,1,TRUE,10000151,"Given the opportunities provided by Conservative policies, many more families now enjoy the pride of ownership of homes, of shares and of pensions. Together we are building One Nation of free, prosperous and responsible families and people.","This Manifesto points the way forward. The British Revival. This manifesto sets out our vision for the Britain of the 1990s and beyond, a future based on the aspirations of millions of individuals and their families their hopes, their needs, their security."
10000161,This Manifesto points the way forward.,1,TRUE,10000161,"Together we are building One Nation of free, prosperous and responsible families and people. A Conservative dream is at last becoming a reality.","The British Revival. This manifesto sets out our vision for the Britain of the 1990s and beyond, a future based on the aspirations of millions of individuals and their families their hopes, their needs, their security. For the first time in a generation this country looks forward to an era of real prosperity and fulfilment."
10000171,"The British Revival. This manifesto sets out our vision for the Britain of the 1990s and beyond, a future based on the aspirations of millions of individuals and their families their hopes, their needs, their security.",1,TRUE,10000171,A Conservative dream is at last becoming a reality. This Manifesto points the way forward.,For the first time in a generation this country looks forward to an era of real prosperity and fulfilment. A vast change separates the Britain of today from the Britain of the late 1970s.
10000191,A vast change separates the Britain of today from the Britain of the late 1970s.,1,FALSE,10000191,"The British Revival. This manifesto sets out our vision for the Britain of the 1990s and beyond, a future based on the aspirations of millions of individuals and their families their hopes, their needs, their security. For the first time in a generation this country looks forward to an era of real prosperity and fulfilment.",Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent? That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land?
10000201,Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent?,2,FALSE,10000201,For the first time in a generation this country looks forward to an era of real prosperity and fulfilment. A vast change separates the Britain of today from the Britain of the late 1970s.,"That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land? That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?"
10000211,That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land?,2,TRUE,10000211,A vast change separates the Britain of today from the Britain of the late 1970s. Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent?,"That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact? And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure?"
